title,lyric
爱在西元前,"古巴比伦王颁布了汉摩拉比法典
刻在黑色的玄武岩 距今已经三千七百多年
你在橱窗前 凝视碑文的字眼
我却在旁静静欣赏你那张我深爱的脸
祭司 神殿 征战 弓箭 是谁的从前
喜欢在人潮中你只属於我的那画面
经过苏美女神身边 我以女神之名许愿
思念像底格里斯河般的漫延
当古文明只剩下难解的语言
传说就成了永垂不朽的诗篇
我给你的爱写在西元前
深埋在美索不达米亚平原
几十个世纪後出土发现
泥板上的字迹依然清晰可见
我给你的爱写在西元前
深埋在美索不达米亚平原
用楔形文字刻下了永远
那已风化千年的誓言 一切又重演
我感到很疲倦 离家乡还是很远
害怕再也不能回到你身边
我给你的爱写在西元前
深埋在美索不达米亚平原
几十个世纪後出土发现
泥板上的字迹依然清晰可见
我给你的爱写在西元前
深埋在美索不达米亚平原
用楔形文字刻下了永远
那已风化千年的誓言 一切又重演
爱在西元前 爱在西元前"
爸 我回来了,"我听说通常在战争后就会换来和平
为什麼看到我的爸爸一直打我妈妈
就因为喝醉酒 他就能拿我妈出气
我真的看不下去 以为我较细汉
从小到大只有妈妈的温暖 为什麼我爸爸 那麼凶
如果真的我有一双翅膀 二双翅膀
随时出发 偷偷出发 我一定带我妈走
从前的教育 别人的家庭 别人的爸爸
种种的暴力因素一定都会有原因
但是呢 妈跟我都没有错亏我叫你一声爸~爸我回来了
不要再这样打我妈妈
我说的话 你甘会听
不要再这样打我妈妈
难道你手 不会痛吗
其实我回家就想要阻止一切 让家庭回到过去甜甜
温馨的欢乐香味 虽然这是我编造出来的事实
有点讽刺 有点酸性 但它确在这快乐社会发生产生共鸣
产生共鸣来阻止一切暴力 眼泪随著音符吸入血液情绪
从小到大你叫我学习你把你当榜样 好多的假像
妈妈常说乖 听你爸的话 你叫我怎麼跟你像
不要再这样打我妈妈
我说的话 你甘会听
不要再这样打我妈妈
难道你手 不会痛吗
我叫你爸 你打我妈这样对吗 干嘛这样
何必让酒牵鼻子走 瞎
说都说不听 听 痛是我们在痛 痛"
简单爱,"说不上为什么 我变得很主动 
若爱上一个人 什么都会值得去做 
我想大声宣布 对你依依不舍 
连隔壁邻居都猜到我现在的感受 
河边的风 在吹著头发飘动 
牵著你的手 一阵莫名感动 
我想带你 回我的外婆家 
一起看著日落 一直到我们都睡著 
我想就这样牵著你的手不放开 
爱能不能够永远单纯没有悲哀 
我想带你骑单车 
我想和你看棒球 
想这样没担忧 唱著歌一直走 
我想就这样牵著你的手不放开 
爱可不可以简简单单没有伤害 
你靠著我的肩膀 
你在我胸口睡著 
像这样的生活 我爱你 你爱我
说不上为什么 我变得很主动 
若爱上一个人 什么都会值得去做 
我想大声宣布 对你依依不舍 
连隔壁邻居都猜到我现在的感受 
河边的风 在吹著头发飘动 
牵著你的手 一阵莫名感动 
我想带你 回我的外婆家 
一起看著日落 一直到我们都睡著 
我想就这样牵著你的手不放开 
爱能不能够永远单纯没有悲哀 
我想带你骑单车 
我想和你看棒球 
想这样没担忧 唱著歌一直走 
我想就这样牵著你的手不放开 
爱可不可以简简单单没有伤害 
你靠著我的肩膀 
你在我胸口睡著 
像这样的生活 我爱你 你爱我
想!简简单单爱!
想!简简单单爱!"
开不了口,"才离开没多久就开始 担心今天的你过得好不好 
整个画面是你 想你想的睡不著 
嘴嘟嘟那可爱的模样 还有在你身上香香的味道 
我的快乐是你 想你想的都会笑 
没有你在我有多难熬 
(没有你在我有多难熬多烦恼) 
没有你烦我有多烦恼 
(没有你烦我有多烦恼多难熬) 
穿过云层 我试著努力向你奔跑 
爱才送到 你却已在别人怀抱 
就是开不了口 让她知道 
我一定会呵护著你 也逗你笑 
你对我有多重要 我后悔没让你知道 
安静的听你撒娇 看你睡著一直到老 
就是开不了口 让她知道 
就是那么简单几句 我办不到 
整颗心悬在半空 我只能够远远看著 
这些我都做得到 但那个人已经不是我 
没有你在我有多难熬 
(没有你在我有多难熬多烦恼) 
没有你烦我有多烦恼 
(没有你烦我有多烦恼多难熬) 
穿过云层 我试著努力向你奔跑 
爱才送到 你却已在别人怀抱 
就是开不了口 让她知道 
我一定会呵护著你 也逗你笑 
你对我有多重要 我后悔没让你知道 
安静的听你撒娇 看你睡著一直到老 
就是开不了口 让她知道 
我一定会呵护著你 也逗你笑 
这些我都做得到 但那个人已经不是我"
上海 一九四三,"依稀可见几个字岁岁平安
在我没回去过的老家米缸
爷爷用楷书写一个满
黄金葛爬满了雕花的门窗
夕阳斜斜映在斑驳的砖墙
在我没回去过的老家米缸
爷爷用楷书写一个满
我对着黑白照片开始想像
爸和妈当年的模样
说着一口吴侬软语的姑娘
缓缓走过外滩
消失的 旧时光
一九四三
在回忆 的路上
时间变好慢
老街坊 小弄堂
是属于那年代
白墙黑瓦的淡淡的忧伤
消失的 旧时光
一九四三
回头看 的片段
有一些风霜
老唱盘 旧皮箱
装满了明信片的铁盒里
藏着一片玫瑰花瓣
黄金葛爬满了雕花的门窗
夕阳斜斜映在斑驳的砖墙
在我没回去过的老家米缸
爷爷当年酿的豆瓣酱
我对着黑白照片开始想像
爸和妈当年的模样
说着一口吴侬软语的姑娘
缓缓走过外滩
消失的 旧时光
一九四三
在回忆 的路上
时间变好慢
老街坊 小弄堂
是属于那年代白墙黑瓦的
淡淡的忧伤
消失的 旧时光
一九四三
回头看 的片段
有一些风霜
老唱盘 旧皮箱
装满了明信片的铁盒里
藏着一片玫瑰花瓣"
对不起,"广场一枚铜币悲伤的很隐密
它在许愿池里轻轻叹息
太多的爱上你让它喘不过气已经
失去意义
戒指在哭泣静静躺在抽屉
它所拥有的只剩下回忆
相爱还有别离像无法被安排的雨
随时准备来袭
我怀念起国小的课桌椅
怀念着用铅笔写日记
纪录哪最原始的美丽
纪录第一次遇见的你(jay chou)
如果我遇见你是一场悲剧
我想我这辈子注定一个人演戏
最后再一个人慢慢的回忆
没有了过去我将往事抽离
如果我遇见你是一场悲剧
我可以让生命就这样毫无意义
或许再最后能听到你一句
轻轻的叹息后悔着对不起"
威廉古堡,"藤蔓植物
爬满了伯爵的坟墓
古堡里一片荒芜
长满杂草的泥土
不会骑扫把的胖女巫
用拉丁文念咒语 啦啦呜
她养的黑猫笑起来像哭
啦啦啦呜
用水晶球替人占卜
她说下午三点阳光射进教堂的角度
能知道你前世是狼人还是蝙蝠
古堡主人威廉二世满脸的络腮胡
习惯 在吸完血后开始打呼
管家是一只会说法语举止优雅的猪
吸血前会念约翰福音做为弥补
拥有一双蓝色眼睛的凯萨琳公主
专吃 有AB血型的公老鼠
恍恍惚惚 是谁的脚步
银制茶壶 装蟑螂蜘蛛
辛辛苦苦 全家怕日出
白色蜡烛 温暖了空屋
藤蔓植物
爬满了伯爵的坟墓
古堡里一片荒芜
长满杂草的泥土
不会骑扫把的胖女巫
用拉丁文念咒语 啦啦呜
她养的黑猫笑起来像哭
啦啦啦呜
用水晶球替人占卜
她说下午三点阳光射进教堂的角度
能知道你前世是狼人还是蝙蝠
古堡主人威廉二世满脸的落腮胡
习惯 在吸完血后开始打呼
管家是一只会说法语举止优雅的猪
吸血前会念约翰福音做为弥补
拥有一双蓝色眼睛的凯萨琳公主
专吃 有AB血型的公老鼠
恍恍惚惚是谁的脚步
银制茶壶装蟑螂蜘蛛
辛辛苦苦全家怕日出
白色蜡烛温暖了空屋
你说你说分数怎么停留
一直在停留谁让它停留的
为什么我女朋友场外加油
你却还让我出糗
你说你说分数怎么停留
一直在停留谁让它停留的
为什么我女朋友场外加油
你却还让我出糗"
对不起,"岩烧店烟味弥漫 隔壁是国术馆
店里的妈妈桑 柔道有三 段
教拳脚武术的老板 练铁砂掌 耍杨家枪
硬底子功夫最擅长 还会金钟罩铁布衫
他们儿子我习惯 从小就耳濡目染
什么刀枪棍棒 我都耍的有模有样
什么兵器最喜欢 双截棍柔中带钢
想要去河南嵩山 学少林跟武当
（什么干 什么干）
呼吸吐纳心自在
（什么干 什么干）
气沉丹田手心开
（什么干 什么干）
日行千里系沙袋
飞檐走壁莫奇怪 去去就来
一个 马步向前 一记左钩拳 右钩拳
一句惹毛我的人有危险
一再重演 一根我不抽的烟
一放好多年 它一直在身边
（什么干 什么干）
我打开任督二脉
（什么干 什么干）
东亚病夫的招牌
（什么干 什么干）
已被我一脚踢开
哼 快使用双截棍 哼哼哈嘿
快使用双截棍 哼哼哈嘿
习武之人切记 仁者无敌
是谁在练太极 风生水起
快使用双截棍 哼哼哈嘿
快使用双截棍 哼哼哈嘿
如果我有轻功 飞檐走壁
为人耿直不屈 一身正气 哼
他们儿子我习惯 从小就耳濡目染
什么刀枪棍棒 我都耍的有模有样
什么兵器最喜欢 双截棍柔中带钢
想要去河南嵩山 学少林跟武当
快使用双截棍 哼哼哈嘿
快使用双截棍 哼哼哈嘿
习武之人切记 仁者无敌
是谁在练太极 风生水起
快使用双截棍 哼哼哈嘿
快使用双截棍 哼哼哈嘿
如果我有轻功 飞檐走壁
为人耿直不屈 一身正气 哼
他们儿子我习惯 从小就耳濡目染
什么刀枪棍棒 我都耍的有模有样
什么兵器最喜欢 双截棍柔中带钢
想要去河南嵩山 学少林跟武当
快使用双截棍 哼哼哈嘿
快使用双截棍 哼哼哈嘿
习武之人切记 仁者无敌
是谁在练太极 风生水起
快使用双截棍 哼
快使用双截棍 哼
如果我有轻功 飞檐走壁
为人耿直不屈 一身正气 哼
快使用双截棍 哼
我用手刀防系 哼
漂亮的回旋踢"
安静,"只剩下钢琴陪我谈了一天
睡著的大提琴 安静的旧旧的
我想你已表现的非常明白
我想你已表现的非常明白
我懂我也知道 你没有舍不得
你说你也会难过我不相信
你说你也会难过我不相信
牵著你陪著我 也只是曾经
希望他是真的比我还要爱你
我才会逼自己离开
你要我说多难堪 我根本不想分开
你要我说多难堪 我根本不想分开
为什么还要我用微笑来带过
我没有这种天份 包容你也接受他
不用担心的太多 我会一直好好过
你已经远远离开 我也会慢慢走开
为什么我连分开都迁就著你
我真的没有天份 安静的没这么快
我会学著放弃你 是因为我太爱你
你要我说多难堪 我根本不想分开
为什么还要我用微笑来带过
我没有这种天份 包容你也接受他
不用担心的太多 我会一直好好过
你已经远远离开 我也会慢慢走开
为什么我连分开都迁就著你
我真的没有天份 安静的没这么快
我会学著放弃你 是因为我太爱你"
忍者,"居酒屋里的小神龛 离铺满鹅卵石的玄关
差不多一米宽的信仰 我坐着喝味噌汤
在旁观看庭园假山 京都的夜晚
有一种 榻榻米 的稻香 叫做禅
那里 神社许愿 闪过一个画面
这里 忍者蒙着脸 在角落吹暗箭
心里 幕府又重现 从前老东京那条山手线
像一出怀旧的默片
嗷咿吆嗷咿吆咿嗷咿吆嗷咿吆咿 嘿
伊贺流忍者的想法 嘿 只会用武士刀比划 嘿
我一个人在家 乖乖的学插花
はぃ はぃ はぃ ゎかいました
いち に さん し樱花落满地 有一种神秘 凝结了空气
いち に さん し黑夜里偷袭 去攻击 烟雾当武器
いち に さん し忍者的物语 要切断过去 忠心是唯一
いち に さん し隐身要彻底 要忘记 什么是自己
居酒屋里的小神龛 离铺满鹅卵石的玄关
差不多一米宽的信仰 我坐着喝味噌汤
在旁观看庭园假山 京都的夜晚
有一种 榻榻米 的稻香 叫做禅
那里 神社许愿 闪过一个画面
这里 忍者蒙着脸 在角落吹暗箭
心里 幕府又重现 从前老东京那条山手线
像一出怀旧的默片
嗷咿吆嗷咿吆咿 嗷咿吆嗷咿吆咿 嘿
伊贺流忍者的想法 嘿 只会用武士刀比划 嘿
我一个人在家 乖乖的学插花
はぃ はぃ はぃ ゎかいました
いち に さん し樱花落满地 有一种神秘 凝结了空气
いち に さん し黑夜里偷袭 去攻击 烟雾当武器
いち に さん し忍者的物语 要切断过去 忠心是唯一
いち に さん し隐身要彻底 要忘记 什么是自己
いち に さん し樱花落满地 有一种神秘 凝结了空气
いち に さん し黑夜里偷袭 去攻击 烟雾当武器
いち に さん し忍者的物语
いち に さん し要切断过去
いち に さん し忠心是唯一
いち に さん し咿呦... "
