title,lyric
可爱女人,"想要有直升机
想要和你飞到宇宙去
想要和你融化在一起融化在银河里
我每天每天每天
想想想想着你
这样的甜蜜让我开始相信命运
感谢地心引力让我碰到你
漂亮的让我面红的可爱女人
温柔的让我心疼的可爱女人
聪明的让我感动的可爱女人
坏坏的让我疯狂的可爱女人
漂亮的让我面红的可爱女人
温柔的让我心疼的可爱女人
聪明的让我感动的可爱女人
坏坏的让我疯狂的可爱女人
让我面红的让我面红的
让我心疼的让我心疼的
让我感动的让我感动的
让我疯狂的让我疯狂的
让我面红的让我面红的
让我心疼的让我心疼的
让我感动的让我感动的
让我疯狂的让我疯狂的
想要有直升机
想要和你飞到宇宙去
想要和你融化在一起融化在银河里
我每天每天每天
想想想想着你
这样的甜蜜让我开始相信命运
感谢地心引力让我碰到你
漂亮的让我面红的可爱女人
温柔的让我心疼的可爱女人
聪明的让我感动的可爱女人
坏坏的让我疯狂的可爱女人
漂亮的让我面红的可爱女人
温柔的让我心疼的可爱女人
聪明的让我感动的可爱女人
坏坏的让我疯狂的可爱女人
世界这样大而我而我只是只小小小的蚂蚁
我要尽全力全力全力保护你哦
漂亮的让我面红的可爱女人
温柔的让我心疼的可爱女人
聪明的让我感动的可爱女人
坏坏的让我疯狂的可爱女人
漂亮的让我面红的可爱女人
温柔的让我心疼的可爱女人
聪明的让我感动的可爱女人
坏坏的让我疯狂的可爱女人
漂亮的让我面红的可爱女人
温柔的让我心疼的可爱女人
聪明的让我感动的可爱女人
坏坏的让我疯狂的可爱女人
漂亮的让我面红的可爱女人
温柔的让我心疼的可爱女人
聪明的让我感动的可爱女人"
完美主义,"如果说怀疑
可以造句
如果说分离
能够翻译
如果这一切
真的可以
我想要将我的寂寞封闭
然后在这褃 
不限日期
然后将过去
慢慢温习
让我爱上你
那场悲剧
是你完美演出的一场戏
宁愿心碎哭泣
再狠狠忘记
你爱过我的证据
让晶莹的泪滴
闪烁成回忆
伤人的美丽
你的完美主义太彻底
让我连恨都难以下笔
将真心抽离写成日记
像是一场默剧
你的完美主义太彻底
分手的话像语言暴力
我已经无能为力再提起
决定中断熟悉"
星晴,"乘着风 游荡在蓝天边
一片云掉落在我面前
捏成你的形状随风跟着我
一口一口 吃掉忧愁
载着你 彷佛载着阳光
不管到哪里 都是晴天
蝴蝶自在飞
花也布满天
一朵一朵 因你而香
试图让夕阳飞翔
带领你我环绕大自然
迎着风 开始共度每一天
手牵手 一步两步三步四步 望着天
看星星 一颗两颗三颗四颗 连成线
背对背 默默许下心愿
看远方的星 是否听得见
手牵手 一步两步三步四步 望着天
看星星 一颗两颗三颗四颗 连成线
背对背 默默许下心愿
看远方的星 如果听得见
它一定实现
载着你 彷佛载着阳光
不管到哪里 都是晴天
蝴蝶自在飞
花也布满天
一朵一朵 因你而香
试图让夕阳飞翔
带领你我环绕大自然
迎着风 开始共度每一天
手牵手 一步两步三步四步 望着天
看星星 一颗两颗三颗四颗 连成线
背对背 默默许下心愿
看远方的星 是否听得见
手牵手 一步两步三步四步 望着天
看星星 一颗两颗三颗四颗 连成线
背对背默默 许下心愿
看远方的星 如果听得见
它一定实现"
娘子,"娘子娘子却依旧每日
折一枝杨柳你在那里
在小村外的溪边河口默默等着我
娘子依旧每日折一枝杨柳
你在那里在小村外的溪边
默默等着 娘子
一壶好酒 再来一碗热粥
配上几斤的牛肉
我说店小二 三两银够不够
景色入秋 漫天黄沙凉过
塞北的客栈人多
牧草有没有我马儿有些瘦
世事看透 江湖上潮起潮落
什么恩怨过错
在多年以后 还是让人难过
心伤透
娘子她人在江南等我
泪不休 语沉默
娘子却依旧每日折一枝杨柳
在小村外的溪边河口
默默的在等着我
家乡的爹娘早已苍老了轮廓
娘子我欠你太多
一壶好酒 再来一碗热粥
配上几斤的牛肉
我说店小二 三两银够不够
景色入秋 漫天黄沙凉过
塞北的客栈人多
牧草有没有我马儿有些瘦
天涯尽头满脸风霜
落寞近乡情怯的我
相思寄红豆
相思寄红豆无能为力的在人海中漂泊
心伤透
娘子她人在江南等我
泪不休 语沉默
一壶好酒 再来一碗热粥
配上几斤的牛肉
我说店小二 三两银够不够
景色入秋 漫天黄沙凉过
塞北的客栈人多
牧草有没有 我马儿有些瘦
世事看透江湖上潮起潮落什么恩怨过错
在多年以后 还是让人难过
心伤透
娘子她人在江南等我
泪不休 语沉默
娘子却依旧每日折一枝杨柳
在小村外的溪边河口
默默的在等着我
家乡的爹娘早已苍老了轮廓
娘子我欠你太多
一壶好酒 再来一碗热粥
配上几斤的牛肉
我说店小二 三两银够不够
景色入秋 漫天黄沙凉过
塞北的客栈人多
牧草有没有 我马儿有些瘦
天涯尽头 满脸风霜
落寞 近乡情怯的我
相思寄红豆
相思寄红豆无能为力的在人海中漂泊
心伤透
娘子她人在江南等我
泪不休 语沉默
娘子 娘子却依旧每日
折一枝杨柳你在那里
在小村外的溪边河口默默等着我
娘子依旧每日折一枝杨柳
你在那里 在小村外的溪边
默默等着娘子
娘子却依旧每日
折一枝杨柳你在那里
在小村外的溪边河口默默等着我
娘子依旧每日折一枝杨柳
你在那里 在小村外的溪边
默默等着娘子"
斗牛,"有什么不妥
有话就直说
别窝在角落
不爽就反驳
到底踛什么
懂不懂篮球
有种不要走
三对三斗牛
三分球它在空中停留
所有人看著我
抛物线进球
单手过人运球
篮下妙传出手
漂亮的假动作
帅呆了我
全尝人防守
篮下禁区游走
快攻抢篮板球
得分都靠我
你拿了球不投
又不会掩护我
选你这种队友
瞎透了我
说你说分数怎么停留一直在停留谁让它停留的
为什么我女朋友场外加油
你却还让我出糗
你说啊你怎么抄我球
你说啊你怎么打我手
你说是不是你不想活
说你怎么面对我甩开球我满腔的怒火
我想揍你已经很久别想走
说你眼睛看着我别发抖你给我抬起头
有话去对医药箱说别怪我"
黑色幽默,"难过是因为闷了很久
是因为想了太多
是心理起了作用
你说苦笑常常陪着你
在一起有点勉强
该不该现在休了我
不想太多
我想一定是我
听错弄错搞错
拜托我想是你的
脑袋有问题
随便说说
其实我早已经猜透
看透不想多说
只是我怕眼泪撑不住
不懂你的黑色幽默
想通却又再考倒我
说散你想很久了吧?
我不想拆穿你
当作是你开的玩笑
想通却又再考倒我
说散你想很久了吧?
败给你的黑色幽默
不想太多
我想一定是我
听错弄错搞错
拜托我想是你的
脑袋有问题
随便说说
已经猜透看透
不想多说
我怕眼泪撑不住
不懂你的黑色幽默
想通却又再考倒我
说散你想很久了吧?
我不想拆穿你
当作是你开的玩笑
想通却又再考倒我
说散你想很久了吧?
败给你的黑色幽默
说散你想很久了吧?
我的认真败给黑色幽默"
伊斯坦堡,"走过了很多地方
我来到伊斯坦堡
就像是童话故事
有教堂有城堡
每天忙碌地的寻找
到底什么我想要
却发现迷了路怎么找也找不着
心血来潮起个大早
怎么我也睡不着
昨晚梦里你来找我才
原来我只想要你
陪我去吃汉堡
说穿了其实我的愿望就怎么小
就怎么每天祈祷我的心跳你知道
杵在伊斯坦堡却只想你和汉堡
我想要你的微笑每天都能看到
我知道这里很美但家乡的你更美"
印第安老斑鸠,"在一处被废弃的白蚁丘 
站着一只饿昏的老斑鸠 
印第安老斑鸠 
腿短毛不多 
几天都没有喝水也能活 
脑袋瓜有一点秀逗 
猎物死了他比谁都难过 
印第安斑鸠 会学人开口 
仙人掌怕羞 蜥蜴横着走 
这里什么奇怪的事都有 
包括像猫的狗 
印第安老斑鸠 平常话不多 
除非是乌鸦抢了他的窝 
他在灌木丛旁邂逅 
一只令他心仪的母斑鸠 
牛仔红蕃 在小镇 背对背决斗 
一只灰狼问我谁是神枪手 
巫师他念念有词的 
对酋长 下诅咒 还我骷髅头 
这故事告诉我 印第安的传说 
还真是 瞎透了 什么都有 
沙漠之中怎么会有泥鳅 
话说完飞过一只海鸥 
大峡谷的风呼啸而过 
是谁说没有 
有一条热昏头的响尾蛇 
无力的躺在干枯的河 
在等待雨季来临变沼泽 
灰狼啃食着水鹿的骨头 
秃鹰盘旋死盯着腐肉 
草原上两只敌对野牛 
在远方决斗 
在一处被废弃的白蚁丘 
站着一只饿昏的老斑鸠 
印第安老斑鸠 
腿短毛不多 
几天都没有喝水也能活 
脑袋瓜有一点秀逗 
猎物死了他比谁都难过 
印第安斑鸠 哦 好休息一下 
仙人掌怕羞 蜥蜴横着走 
这里什么奇怪的事都有 
包括像猫的狗 
印第安老斑鸠 平常话不多 
除非是乌鸦抢了他的窝 
他在灌木丛旁邂逅 
一只令他心仪的母斑鸠 
印第安老斑鸠 
腿短毛不多 
几天都没有喝水也能活 
脑袋瓜…… 
猎物死了他比谁都难过 
印第安斑鸠 会学人开口 
仙人掌怕羞 蜥蜴横着走 
这里什么奇怪的事都有 
包括像猫的狗 
印第安老斑鸠 平常话不多 
除非是乌鸦抢了他的窝 
他在灌木丛旁邂逅 
一只令他心仪的母斑鸠"
龙卷风,"我被它拖着走
静静悄悄默默离开
陷入了危险边缘Baby~
我的世界已狂风暴雨
爱情来得太快就像龙卷风
离不开暴风圈来不及逃
我不能再想
我不能再想
我不 我不 我不能
爱情走得太快就像龙卷风
不能承受我已无处可躲
我不要再想
我不要再想
我不 我不 我不要再想你
不知不觉
你已经离开我
不知不觉
我跟了这节奏
后知后觉
又过了一个秋
后知后觉
我该好好生活
静静悄悄默默离开
陷入了危险边缘Baby~
我的世界已狂风暴雨
爱情来得太快就像龙卷风
离不开暴风圈来不及逃
我不能再想
我不能再想
我不 我不 我不能
爱情走得太快就像龙卷风
不能承受我已无处可躲
我不要再想
我不要再想
我不 我不 我不要再想你
爱情来得太快就像龙卷风
离不开暴风圈来不及逃
我不能再想
我不能再想
我不 我不 我不能
爱情走得太快就像龙卷风
不能承受我已无处可躲
我不要再想
我不要再想
我不 我不 我不要再想你
不知不觉
你已经离开我
不知不觉
我跟了这节奏
后知后觉
又过了一个秋
后知后觉
我该好好生活
不知不觉
你已经离开我
不知不觉
我跟了这节奏
后知后觉
又过了一个秋
后知后觉
我该好好生活
不知不觉
你已经离开我
不知不觉
我跟了这节奏
后知后觉
后知后觉"
反方向的钟,"迷迷蒙蒙 你给的梦
出现裂缝 隐隐作痛
怎么沟通 你都没空
说我不懂 说了没用
他的笑容 有何不同
在你心中 我不再受宠
我的天空 是雨是风
还是彩虹 你在操纵
恨自己真的没用
情绪激动
一颗心到现在还在抽痛
还为分手前那句抱歉
在感动
穿梭时间的画面的钟
从反方向开始移动
回到当初爱你的时空
停格内容不忠
所有回忆对着我进攻
我的伤口被你拆封
誓言太沉重泪被纵容
脸上汹涌失控
城市霓虹 不安跳动
染红夜空
过去种种 象一场梦
不敢去碰 一想就痛
心碎内容 每一秒钟
都有不同 你不懂
连一句珍重 也有苦衷
也不想送
寒风中 废墟烟囱
停止转动 一切落空
在人海中 盲目跟从
别人的梦 全面放纵
恨没有用 疗伤止痛
不再感动 没有梦
痛不知轻重 泪水鲜红
全面放纵
恨自己真的没用 情绪激动
一颗心到现在还在抽痛
还为分手前那句抱歉
在感动
穿梭时间的画面的钟
从反方向开始移动
回到当初爱你的时空
停格内容不忠"
